iter	RMSE
306	44710.42088
307	44706.14373
308	44702.73252
309	44700.59575
310	44697.88344
311	44694.61495
312	44688.26856
313	44681.54588
314	44674.9007
315	44670.15726
316	44667.79214
317	44665.86626
318	44660.81166
319	44656.49266
320	44645.98457
321	44640.39469
322	44628.38271
323	44625.52059
324	44619.57798
325	44616.46456
326	44611.96136
327	44605.46511
328	44597.6888
329	44591.38176
330	44588.02853
331	44585.12062
332	44580.37669
333	44574.79473
334	44567.62701
335	44558.16248
336	44548.90937
337	44544.74204
338	44537.30466
339	44533.78458
340	44526.43353
341	44521.65364
342	44516.68509
343	44513.66702
344	44504.65894
345	44495.89348
346	44488.04432
347	44480.33924
348	44478.48412
349	44468.23465
350	44460.55598
351	44457.95036
352	44448.46276
353	44442.21716
354	44432.91204
355	44427.04033
356	44415.57885
357	44410.54917
358	44403.29639
359	44394.72686
360	44391.24215
361	44388.42413
362	44383.83897
363	44382.448
364	44376.45017
365	44373.91615
366	44368.67747
367	44359.33711
368	44351.54289
369	44350.02869
370	44346.26916
371	44340.05638
372	44332.82208
373	44330.95185
374	44326.04862
375	44323.66703
376	44318.13878
377	44316.80091
378	44310.13965
379	44300.67656
380	44297.23657
381	44292.10492
382	44291.44207
383	44285.28182
384	44282.91763
385	44281.01122
386	44278.50783
387	44267.55172
388	44262.9963
389	44253.62015
390	44247.98349
391	44244.26063
392	44238.93458
393	44233.3026
394	44223.05155
395	44219.90658
396	44212.00963
397	44202.92757
398	44194.63537
399	44186.90985
400	44177.68187
401	44172.0657
402	44165.26317
403	44158.2597
404	44150.03099
405	44144.60016
406	44134.45802
407	44128.90843
408	44125.98758
409	44120.85539
410	44117.43601
411	44112.88324
412	44109.96653
413	44103.9753
414	44101.66578
415	44098.348
416	44095.63184
417	44094.12715
418	44088.70323
419	44086.11463
420	44081.93877
421	44077.73516
422	44074.20475
423	44062.28043
424	44053.76183
425	44044.70106
426	44044.33257
427	44039.19161
428	44035.74379
429	44033.78572
430	44031.45575
431	44028.54271
432	44024.19714
433	44018.76603
434	44013.80373
435	44006.0094
436	44001.7682
437	43996.0965
438	43989.53086
439	43987.94634
440	43986.95482
441	43982.59616
442	43980.62489
443	43977.24947
444	43974.06717
445	43972.66767
446	43968.14581
447	43963.57477
448	43955.48061
449	43952.15783
450	43943.46101
451	43932.4864
452	43927.719
453	43923.10973
454	43919.25676
455	43913.72821
456	43908.37204
457	43904.31083
458	43901.03985
459	43898.50551
460	43893.59548
461	43890.85058
462	43888.14442
463	43887.00681
464	43882.45699
465	43875.79539
466	43872.0845
467	43865.66261
468	43862.96247
469	43851.27776
470	43848.31749
471	43843.2148
472	43838.08491
473	43836.18066
474	43832.91857
475	43823.43917
476	43817.80126
477	43810.60418
478	43804.9906
479	43798.40283
480	43791.93088
481	43785.72141
482	43780.55213
483	43778.39676
484	43773.20519
485	43769.091
486	43768.62848
487	43760.50487
488	43758.34134
489	43751.26518
490	43742.78575
491	43738.42773
492	43735.20895
493	43731.64671
494	43724.91596
495	43715.75297
496	43708.19944
497	43700.19591
498	43697.02119
499	43691.91707
500	43690.81347
501	43689.65762
502	43679.90876
503	43678.16566
504	43674.66959
505	43671.61106
506	43666.83221
507	43665.91022
508	43658.54261
509	43654.83386
510	43651.93126
511	43647.52017
512	43642.8211
513	43641.27132
514	43637.83873
515	43631.60767
516	43626.53241
517	43620.73977
518	43615.28594
519	43610.31597
520	43606.52774
521	43598.87326
522	43597.00268
523	43595.6841
524	43588.5323
525	43579.95599
526	43574.38696
527	43572.95266
528	43567.45415
529	43565.5843
530	43560.19363
531	43557.10166
532	43549.11
533	43543.5694
534	43536.1594
535	43532.16943
536	43526.3919
537	43518.92778
538	43514.72985
539	43513.07325
540	43510.46365
541	43504.42557
542	43499.73532
543	43493.61208
544	43487.7475
545	43483.34018
546	43477.35065
547	43470.57402
548	43465.99189
549	43456.64825
550	43451.03528
551	43444.41349
552	43436.64019
553	43428.73774
554	43426.98167
555	43420.86974
556	43419.88356
557	43418.53069
558	43411.75127
559	43405.78438
560	43405.09584
561	43397.31168
562	43387.38703
563	43377.23612
564	43372.69518
565	43367.14321
566	43364.6798
567	43359.51391
568	43358.00464
569	43355.19833
570	43348.48867
571	43340.4415
572	43340.25516
573	43332.85053
574	43321.97435
575	43321.21818
576	43318.33732
577	43315.84639
578	43312.33252
579	43303.44719
580	43302.23951
581	43298.94668
582	43294.24451
583	43288.28116
584	43276.9854
585	43269.14202
586	43265.59267
587	43262.936
588	43257.94427
589	43253.59337
590	43251.12859
591	43243.31277
592	43236.08798
593	43230.35694
594	43224.11236
595	43218.19918
596	43212.15591
597	43204.68049
598	43202.29152
599	43201.14293
600	43197.80113
601	43189.68987
602	43184.37248
603	43178.13424
604	43174.20159
605	43171.58677
606	43165.03825
607	43161.38642
608	43158.47012
609	43154.00118
610	43149.74182
611	43145.2478
612	43140.36938
613	43134.44332
614	43130.90855
615	43129.48649
616	43122.89876
617	43119.57624
618	43112.65315
619	43110.55489
620	43105.12185
621	43103.74939
622	43100.31595
623	43093.59749
624	43092.71749
625	43090.64439
626	43084.53953
627	43078.60051
628	43074.59395
629	43068.01679
630	43061.01844
631	43058.92031
632	43053.77486
633	43048.13026
634	43043.24318
635	43036.14314
636	43033.7494
637	43029.54427
638	43022.27183
639	43012.77235
640	43007.51763
641	42998.81158
642	42991.74577
643	42985.34961
644	42980.14097
645	42974.64367
646	42971.12673
647	42969.03006
648	42960.54235
649	42958.01989
650	42952.56139
651	42948.09866
652	42941.92534
653	42936.4343
654	42928.75357
655	42927.12897
656	42923.86378
657	42920.32553
658	42916.26439
659	42912.72061
660	42910.77829
661	42902.63312
662	42898.79604
663	42898.64654
664	42897.76621
665	42893.46579
666	42892.22698
667	42880.23332
668	42872.72812
669	42866.85528
670	42866.50875
671	42864.02509
672	42861.49701
673	42855.79351
674	42852.27019
675	42848.81103
676	42844.7099
677	42841.88674
678	42836.03264
679	42832.3911
680	42831.70308
681	42828.5626
682	42827.1338
683	42826.25346
684	42823.88465
685	42817.90468
686	42814.80284
687	42806.51557
688	42804.96384
689	42801.33494
690	42799.03354
691	42791.89985
692	42789.92144
693	42786.6509
694	42783.56165
695	42782.96491
696	42781.87649
697	42777.78827
698	42772.45284
699	42763.87011
700	42758.80005
701	42758.50132
702	42755.77907
703	42754.23459
704	42750.62776
705	42742.43792
706	42737.58979
707	42735.39229
708	42734.17044
709	42729.83018
710	42728.0673
711	42724.35256
712	42723.36329
713	42722.46239
714	42722.13733
715	42715.68848
716	42713.27733
717	42711.79244
718	42706.9364
719	42703.54976
720	42697.74982
721	42691.16018
722	42684.20224
723	42678.36736
724	42675.68383
725	42672.76138
726	42666.7949
727	42664.57408
728	42659.26342
729	42656.82806
730	42655.11013
731	42651.65393
732	42648.95574
733	42643.36286
734	42641.20249
735	42634.90393
736	42629.07607
737	42624.28673
738	42617.04767
739	42613.0645
740	42612.39787
741	42607.39394
742	42604.48697
743	42601.90859
744	42599.61069
745	42597.69811
746	42593.75091
747	42593.5891
748	42593.25117
749	42588.02429
750	42584.74429
751	42581.20057
752	42579.5441
753	42579.22692
754	42572.31485
755	42569.18414
756	42567.16612
757	42560.51104
758	42558.4883
759	42555.72071
760	42549.05005
761	42545.04868
762	42539.74537
763	42534.88293
764	42533.76189
765	42530.32653
766	42527.74945
767	42523.09477
768	42518.44555
769	42515.09825
770	42511.53424
771	42508.42538
772	42504.73753
773	42503.19471
774	42501.01404
775	42498.15256
776	42496.39897
777	42494.93383
778	42487.30504
779	42485.55334
780	42481.81704
781	42481.70861
782	42476.78244
783	42475.27524
784	42472.06006
785	42466.8606
786	42462.74326
787	42456.89219
788	42451.40076
789	42448.51282
790	42444.95717
791	42440.32835
792	42435.16556
793	42427.4089
794	42423.41199
795	42418.92151
796	42411.34204
797	42409.94395
798	42407.86832
799	42401.7886
800	42397.45657
801	42392.55859
802	42387.58084
803	42380.04704
804	42377.72828
805	42374.15439
806	42370.4505
807	42369.04978
808	42363.73292
809	42359.09822
810	42357.22212
811	42352.36758
812	42351.14479
813	42349.28217
814	42348.358
815	42345.91406
816	42343.53988
817	42340.88328
818	42334.64413
819	42332.47897
820	42330.19859
821	42324.11027
822	42321.61853
823	42317.99469
824	42312.39454
825	42311.29871
826	42300.13929
827	42297.21128
828	42295.13429
829	42291.15059
830	42282.34405
831	42275.43811
832	42272.1257
833	42268.56081
834	42266.88508
835	42262.83554
836	42261.51449
837	42257.54227
838	42255.69206
839	42253.32655
840	42245.87422
841	42244.17437
842	42239.15418
843	42237.29023
844	42235.11642
845	42233.53771
846	42233.06267
847	42230.35584
848	42223.94772
849	42222.80836
850	42220.83568
851	42218.79779
852	42217.17682
853	42215.79053
854	42213.79009
855	42212.89324
856	42202.43052
857	42195.04857
858	42190.50375
859	42188.1702
860	42182.20924
861	42179.21701
862	42178.23435
863	42176.05727
864	42174.58237
865	42169.48188
866	42164.26181
867	42161.95497
868	42156.95492
869	42153.97427
870	42149.51773
871	42147.49913
872	42147.31515
873	42142.52716
874	42134.5281
875	42128.44632
876	42125.32004
877	42124.32976
878	42122.61174
879	42117.40695
880	42108.15201
881	42102.25061
882	42100.40773
883	42097.97038
884	42096.06466
885	42093.74771
886	42091.1036
887	42090.10683
888	42085.8155
889	42080.6948
890	42076.33903
891	42068.44226
892	42067.59074
893	42063.84895
894	42058.87251
895	42057.97195
896	42054.60884
897	42054.11194
898	42048.4307
899	42046.55682
900	42040.63019
901	42037.88779
902	42036.06832
903	42027.09149
904	42022.79327
905	42021.96021
906	42020.13837
907	42018.44749
908	42016.62514
909	42015.3528
910	42005.61417
911	42003.13999
912	41999.74415
913	41998.10264
914	41993.82147
915	41988.45596
916	41986.20347
917	41979.84804
918	41971.14912
919	41966.37633
920	41964.87741
921	41958.86871
922	41957.33149
923	41946.76849
924	41944.26572
925	41942.23858
926	41939.59146
927	41934.82507
928	41929.53929
929	41923.89378
930	41921.69587
931	41914.40811
932	41912.43799
933	41910.74643
934	41910.18006
935	41908.11924
936	41907.02978
937	41904.50363
938	41898.42582
939	41890.65081
940	41885.49217
941	41879.60616
942	41876.39383
943	41874.34375
944	41869.82936
945	41868.91367
946	41864.81143
947	41862.79564
948	41856.74543
949	41851.33167
950	41845.21572
951	41839.39258
952	41833.17082
953	41829.50312
954	41827.7187
955	41825.77617
956	41820.63783
957	41817.67337
958	41816.63354
959	41813.41486
960	41809.18247
961	41807.34504
962	41802.97531
963	41801.51163
964	41798.79741
965	41795.48532
966	41794.54746
967	41792.08214
968	41789.0554
969	41786.81056
970	41779.88702
971	41777.52763
972	41775.24266
973	41773.19543
974	41768.05193
975	41765.61681
976	41762.11024
977	41760.55357
978	41757.37273
979	41756.10809
980	41752.35494
981	41750.97896
982	41746.22958
983	41742.90673
984	41740.1081
985	41730.75456
986	41730.414
987	41725.15852
988	41723.62876
989	41719.60561
990	41715.38646
991	41712.07654
992	41706.74494
993	41704.93656
994	41703.53315
995	41698.29192
996	41695.15087
997	41693.63567
998	41690.95192
999	41688.45838
